Product1,Product2
escalope,mushroom cream sauce
escalope,pasta
ground beef,herb & pepper
ground beef,tomato sauce
shrimp,pasta
ground beef,cooking oil
nan,escalope
nan,escalope
frozen vegetables,ground beef
frozen vegetables,olive oil
frozen vegetables,shrimp
frozen vegetables,tomatoes
grated cheese,spaghetti
ground beef,mineral water
nan,ground beef
ground beef,spaghetti
nan,ground beef
spaghetti,ground beef
nan,shrimp
nan,ground beef
frozen vegetables,ground beef
frozen vegetables,olive oil
frozen vegetables,shrimp
frozen vegetables,tomatoes
nan,grated cheese
nan,ground beef
nan,ground beef
nan,ground beef
